generation	clone_id	dN	dS	pN	pS
49001	6	64	28	19	8
49001	7	30	25	23	5
49001	8	21	11	6	6
49001	9	20	25	10	4
49501	0	26	11	15	9
49501	1	14	15	6	3
49501	2	61	34	20	15
49501	3	25	11	5	4
49501	4	19	11	13	7
49501	5	36	15	12	7
49501	6	67	29	29	7
49501	7	33	26	16	11
49501	8	21	10	11	5
49501	9	22	26	7	11
50001	0	26	12	12	4
50001	1	13	14	4	5
50001	2	60	32	30	19
50001	3	25	11	6	6
50001	4	20	8	10	12
50001	5	36	15	13	2
50001	6	66	29	26	11
50001	7	33	26	19	5
50001	8	21	10	7	4
50001	9	21	26	6	5
50501	0	29	11	14	5
50501	1	13	15	9	3
50501	2	59	32	32	19
50501	3	24	11	8	4
50501	4	18	9	11	5
50501	5	35	16	10	3
50501	6	68	31	30	11
50501	7	32	26	18	9
50501	8	21	10	10	4
50501	9	21	28	10	7
51001	0	28	11	14	6
51001	1	12	15	9	1
51001	2	68	35	29	15
51001	3	25	9	10	4
51001	4	22	10	8	7
51001	5	38	15	10	10
51001	6	66	31	21	7
51001	7	34	27	12	9
51001	8	23	11	6	2
51001	9	22	28	6	3
51501	0	28	12	13	4
51501	1	14	15	8	6
51501	2	64	37	37	11
51501	3	23	13	9	2
51501	4	21	12	5	8
51501	5	36	16	15	7
51501	6	67	31	21	10
51501	7	34	27	16	12
51501	8	22	11	9	4
51501	9	22	27	12	4
52001	0	29	13	13	5
52001	1	15	16	11	1
52001	2	65	39	26	15
52001	3	20	13	10	3
52001	4	23	13	6	7
52001	5	40	16	15	6
52001	6	63	31	23	11
52001	7	32	22	20	8
52001	8	23	10	8	4
52001	9	22	28	7	4
52501	0	31	13	12	4
52501	1	15	15	7	4
52501	2	64	39	25	12
52501	3	21	13	9	3
52501	4	22	12	10	1
52501	5	36	16	8	2
52501	6	70	33	20	15
52501	7	34	27	19	7
52501	8	21	11	11	2
52501	9	22	28	9	4
53001	0	31	10	15	5
53001	1	15	15	7	0
53001	2	66	39	26	9
53001	3	26	13	2	3
53001	4	22	13	11	6
53001	5	37	17	13	3
53001	6	68	31	25	7
53001	7	36	27	16	11
53001	8	24	12	8	3
53001	9	19	24	14	4
53501	0	32	11	14	2
53501	1	14	14	8	4
53501	2	69	40	30	15
53501	3	25	13	3	3
53501	4	22	12	11	5
53501	5	39	16	8	5
53501	6	69	33	21	6
53501	7	36	26	15	8
